Topic,Speaker,Manx,English
part three 'home',Phil Gawne,"Well, ta mee cummal ayns Lamode as ta shen ec kione yn awin Colby, as t'eh boayl braew yindyssagh, ta mee hene smooinaghtyn. Sorçh dy gowaltys, well, croit, s'liklee, gowaltys feer veg ny croit t'ayn, as ta paart dy magheryn, mysh tree ny kiare magheryn ain, as glion beg ec bun jeh nane jeh ny magheryn. Boayl yindyssagh ta mee smooinaghtyn.","Well, I live in Lamode and that's at the head of the Colby river, and it's a really great place, I think. It's a sort of farm, well, croft, probably, a very small farm or a croft, with a few fields, about three of four fields, and a small glen at the bottom of one of the fields. A wonderful place I think."
part three 'home',Phil Kelly,"Well, yn ard shoh t'eh enmyssit Rheynn Cullyn, myr ta fys ayd, agh dy firrinagh ta shen yn çheu elley jeh'n raad. Yn çheu shoh, t'eh enmyssit Balley Phadjeen, as shen- yn bun jeh shen, shen 'Balley Parick Beg'. As, well, ta ram enmyn Gaelgagh mygeayrt y boayl shoh. shen Cronk y Crogheree, heose yn ughtagh shoh, as harrish y raad t'eh enmyssit nish Cloudy Lane agh dy firrinagh shen Claddee, as t'eh caghlaait dys Cloudy nish er yn oyr cha nel sleih toiggal yn bun jeh'n cooish.","Well, this area is called Rencullen, as you know, but really that's the other side of the road. This side is called Ballafageen, and that- the meaning of that is 'Little Patrick's Farm'. And, well, there are a lot of Manx names around here. There's Cronk y Crogheree, up the hill there, and over the road it's called now Cloudy Lane but really that's Claddee [river meadow], and it's changed to Cloudy now because people don't understand the meaning of it."
part three 'home',Rosemary Derbyshire,"Mie dy liooar, well, ta mee cummal ayns Purt Çhiarn ec y traa t'ayn. Tra haink shin erash dys yn Ellan va my heshey goaill toshiaght gynsaghey Frangish ec yn Ard Scoill Cashtal Rosien as er y fa shen haink shin dys y Jiass as va shin cummal ayns Colby rish jeih bleeaney, er lhiam's, agh nish ta shin ayns Purt Çhiarn as t'eh mie. Ta ram shappyn ayn, ta lioarlann, ta'n traie yindyssagh, as ta shin feer faggys da'n çheer, as foddee oo shooyl er y çheer ny shooyl dys Purt le Moirrey, as s'mie lhiam shen; ta shen feer vie ayns y Jiass. Er lhiam's dy vel shin kiarail garraghey thie, foddee ayns blein ny ghaa, as goll dys Skylley Maayl. Ta gowaltys ayns shen s'lesh yn lught-thie aym. T'eh just eddyr Skylley Maayl as Skeerey Germaan, faggys da'n Glion Cam - yn Devil's Elbow. As ta shin kiarail goll as cummal heose ayns shen, er lhiam.","Alright, well, I like in Port Erin at the moment. When we came back to the Island my partner was starting to teach French at Castle Rushen High School and for that reason we came to the South and we lived in Colby for ten years, I think, but now we live in Port Erin and it's good. There are lots of shops, a library, the beach is great, and we're very close to the country, and you can walk in the country or walk to Port St. Mary, and I like that; that's very good in the South. I think that we are preparing to move house, probably in a year or two, and go to Kirk Michael. There's a farm there that belongs to my family. It's just between Kirk Michael and German Parish, near to the Glen Cam - the Devil's Elbow. And we're getting ready to go and live up there, I think."
part three 'home',Chris Lewin,"Well, ta mee cummal ayns straid faggys da'n çhenn thie-lheihys ayns Doolish. She terrace t'ayn; cha nel garaghyn erbee ain as ta ooilley ny thieyn faggys da y cheilley. As ta mee cummal ayns thie va troggit 'sy nuyoo eash jeig, as ta tree laareyn ayns as mysh daa hamyr jeig. T'eh feayr dy liooar 'sy gheurey agh she thie jesh t'ayn ny yei. As ta'n thie aym mysh- feer faggys da'n boayl ruggyr mee ayns y Jane Crookall, as t'eh feer faggys da'n chied scoill aym neesht. As ta ny shappyn faggys dy liooar neesht; ta mean y valley mysh queig  ny jeih dy vinnidyn ersooyl as ta mee abyl dy gholl dys mean y valley mennick dy liooar, as, she, s'laik lhiam y boayl shoh. Jamys O'Meara OK, well, aye, me and my family live in The Albert, and we've been here for eight years, eight or nine years, and it belongs to my parents, this pub, and they manage the pub and work here. I don't work here, I just eat and sleep here. But it's nice; you're never far away from food and drink, so I like living here. And I like Port St. Mary. It's a shame there aren't more shops but that's how it is. But I like the town itself; it's calm and I like walking around the town and that sort of thing.","Well, I live on a street near to the old hospital in Douglas. It's a terrace; we don't have any gardens and all the houses are next to one another. And I live in a house that was built in the nineteenth century, and there are three floors and about twelve rooms It's pretty cold in the winter but it's a nice house nonetheless. And my house about- very close to where I was born in the Jane Crookall, and it's very close to my first school too. And the shops are fairly close too; the town centre is about five or ten minutes away and I can go the town centre fairly often, and, yeah, I like this place. Mie dy liooar, well, aye, ta mish as my lught-thie beaghey ayns Yn Ablyt, as ta shin er ve ayns shoh son hoght bleeaney, hoght ny nuy bleeaney, as s'lesh my phaarantyn y thie-lhonney shoh, as t'ad stiurey yn thie-lhionney as gobbragh ayns shoh. Cha nel mish gobbragh ayns shoh, ta mish just gee as cadley ayns shoh. Agh t'eh jesh; cha nel oo rieau foddey ersooyl veih jough as bee, so s'mie lhiam beaghey ayns shoh. As s'mie lhiam Purt le Moirrey. S'bastagh nagh vel ny shlee shappyn ayn agh shen yn aght. Agh s'mie lhiam yn purt hene; t'eh kiune as s'mie lhiam shooyl mygeayrt y phurt as y lhied as shen."
part four 'holidays',Annie Kissack,"Tra ta argid ain s'mie lhiam- s'mie lhien goll gys Ellveeish - ta shin er n'yannoo shen daa cheayrt - as gys Y Creet - daa cheayrt neesht. Ny keayrtyn ta shin goll gys Nherin as gys Sostyn dy cur shilley er sleih. Ta carrey share aym's ayns Y Chorn so ta shin goll gys shen ny keayrtyn neesht. Ooilley mygeayrt y voayl. Agh son ny laghyn seyrey liauyr ayns y tourey ta mee smooinaghtyn dy vel Creet yn boayl share; ta ram ry-akin as ta'n emshyr dy kinjagh grianagh as çheh. Shen scanshoil, er lhiam's.","When we have the money I like- we like to go to Switzerland - we  have done that twice - and to Crete - twice too. Sometimes we go to Ireland and England to visit people. I have a best friend in Cornwall so we go there sometimes too. All around the place. But for long holidays in the summer I think that Crete is the best place; there's lots to see and the weather is always sunny and hot. That's important, I think."
part four 'holidays',David Fisher,"Well, ta mee er ve ayns Y Rank ymmodee keayrtyn. Ta mee loayrt beggan Rangish as s'mie lhiam jannoo ymmyd jeh shen. As s'mie lhiam Britaan Beg, shen yindyssagh. Ta çhengey oc, çhengey Celtiagh oc, myr ta fys eu, agh t'eh beggan anchasley rish yn Ghaelg, bannee mee. T'eh doillee erskyn towse. Ta mee er ve ayns y Ghreag ny neesht, shen yindyssagh. Boayl yindyssagh, shen. Boayl erbee- Yn Cholloo. Erash gys Yn Cholloo. Cha nel oo boirit mychione goll trooid yn purt-etlan, cha nel oo boirit mychione passport ny red ennagh myr shen. Yn un boirey geddyn gys Y Cholloo ta Juan Clague, shen ooilley, as shen aashagh dy liooar.","Well, I've been in France many times. I speak a bit of French and I like using that. And I like Brittany, that's wonderful. They have a language, a Celtic language, as you know, but it's a bit different to Manx, bless me. It's exceedingly difficult. I've been to Greece too, that's great. Wonderful place, that. Anywhere- The Calf. Back to The Calf. You're not worried about going through the airport, you're not worried about a passport or anything like that. The only problem getting to The Calf is Juan Clague, that's all, and that's easy enough."
part four 'holidays',Adrian Cain,"Well, son y chooid smoo ta shin goll dys Sostyn er laghyn seyrey. Ta my ven voish Sostyn so 'sy tourey ta shin goll lesh shilley er yn lught-thie eck ayns Sostyn jiass, as s'mie lhiam goll mygeayrt ayns Kent, Sussex, er yn clyst ayns Sostyn. As by vie lhiam goll dys Nherin ny s'menkey agh cha nel monney tra aym's son shen. S'treisht lhiam 'sy traa ry-heet neeym goll dys Nherin ny s'menkey. As s'mie lhiam goll lesh Lunnin as buill gollrish shen. Ta foast caarjyn aym's ayns Lunnin so s'mie lhiam goll lesh cur shilley orroo.","Well, for the most part we go to England on holiday. My wife is from England so in the summer we go to visit her family in the south of England, and I like going around Kent, Sussex, and on the coast in England. And I'd like to go to Ireland more often but I don't have much time for that. I hope in the future I'll go to Ireland more often. And I like going to London and places like that. I still have friends in London so I like to go and visit them."
part four 'holidays',Cathy Clucas,"Well, s'mie lhiam laghyn seyrey ayns Mannin, shen mie dy liooar, feer vie. Shooyl mygeayrt, as goll campal boayl erbee. S'mie lhiam Nherin. By vie lhiam goll erash dys Ethiopia reeshtagh, traa ry-heet. As ta ram buill ta mee geearree goll: India, as Nepal, Tibet, foddee. Boayl erbee.","Well, I like holidays on the Isle of Man, that's alright, very good. Walking around, and going camping anywhere. I like Ireland. I'd like to go back to Ethiopia again, in the future. And there are lots of places I want to go: India, and Nepal, Tibet, maybe. Anywhere."
part four 'holidays',Aalin Clague,"S'mie lhiam goll gys Yn Rank, as Y Spaainey, as gys Bretin, as Sostyn, as Nalbin. S'mie lhiam goll shooyl ayns buill anchasley as s'mie lhiam jannoo kiaull ayns buill anchasley neesht ec sorçh dy reddyn gollrish yn feailley ayns Lorient as stoo myr shen. As s'mie lhiam goll gys ard-valjyn nish as reesht son- agh t'eh bioysagh agh s'mie lhiam goll ersooyl veih ny buill shen neesht.","I like going to France, and Spain, and to Wales, and England, and Scotland. I like going walking in different places and I like making music in different places at sort of things like the festival in Lorient and things like that. And I like going to cities now and again for- but it's lively but I like going away from those places too."
part four 'holidays',Phil Gawne,"S'mie lhiam goll gys Nherin as Yn Alba; ta mee smooinaghtyn dy vel adsyn nyn buill braew. Agh, gyn ourys, tra erbee ta mee goaill traa seyr s'mie lhiam just goll boayl ennagh lesh yn lught-thie aym's, ersooyl veih dy chooilley red, veih çhellvaneyn, as screeuynyn as dy chooilley red myr shen, just scapail. S'cummey dou yn voayl.","I like going to Ireland and Scotland; I think they're great places. But, definitely, whenever I take a holiday I like to just go somewhere with my family, away from everything, from telephones, and letters and everything like that, just escape. I don't mind where."
part four 'holidays',Phil Kelly,"S'mie lhiam rouail mygeayrt ny Ellanyn Goaldagh, boayl erbee ayns shen: Nalbin, Kernow, Bretin, Nherin, as eer ayns Sostyn hene. S'mie lhiam yn boayl Rheynn ny Loghey. Ta shen boayl mie. Ta mee er ve dys shen ymmodee keayrtyn. Agh ta mee goll dys Nherin, well, dys Beeal Feirshtey, foddee tree ny kiare keayrtyn 'sy vlein.","I like roaming around the British Isles, anywhere there: Ireland, Cornwall, Wales, Ireland, and even in Sostyn itself. I like the Lake District. That's a good place. I've been there many times. But I go to Ireland, well, to Belfast, probably three or four times a year."
part four 'holidays',Chris Lewin,"Well, cha nel mee er ve ayns çheeraghyn foddey ersooyl dy insh in irriney. Ta mee er ve ayns ny hAlpyn as ayns Loghlyn agh shen eh; cha nel mee er ve ny sodjey ersooyl na shen. Cha laik lhiam çheeraghyn çheh; va Munich çheh dy liooar dooys, as Austria, as buill myr shen. V'ad çheh agglagh. Cha voddin goll ny sodjey my yiass na shen. Foddee, baillym fakin Yn Iddaal as Spaainey as buill myr shen agh foddee dy begin dou goll ayns y tourey- cha nee ayns y tourey, ayns y gheurey er y fa dy vel y sourey ro heh da Manninee dy ve ayns buill myr shen. Cha laik lhien y çhiass. Agh s'laik lhiam buill ayns ny hellanyn shoh, ayns Nherin, as Nalbin, as Y  Thalloo Vretnagh, as buill myr shen. Er lheh s'laik lhiam ynnydyn raad ta çhengaghyn ny glaraghyn Celtiagh goll er loayrt foast, as ta mee er ve ayns Nherin as ayns Y Thalloo Vretnagh keayrt ny ghaa.","Well, I haven't been to far away countries to tell the truth. I've been in the Alps and in Norway but that's it; I haven't been further than than. I don't like hot countries; Munich was hot enough for me, and Austria, and places like that. They were terribly hot. I couldn't go further south than that. Maybe, I'd like to see Italy and Spain and places like that but I'd probably have to go in the summer- not in the summer, in the winter because the summer is too hot for the Manx to be in places like that. We don't like the heat. But I like places in these islands , in Ireland, and Scotland, and Wales, and places like that. I especially like places where Celtic languages are still being spoken, and I've been in Ireland and Wales a few times."
part five 'education',Derek Phillips,"S'mie lhiam goll gys boayl ennagh ta'n grian soilshean, ghooinney. Ta. Agh share lhiam Yn Iddaal. S'mie lhiam goll gys Iddaal. Ta shin er ve gys shen kuse dy cheayrtyn nish, gys ny hEllanyn; Ellan Capri, as Ellan Ischia, as Naples. As 'sy Twoaie s'mie lhiam goll gys ny loghyn, ny loghyn Como, as loghyn Garda, as - hie mee gys fer elley - loghyn Trasimeno, va shen yn elley- va shen yn ennym er. She. Agh boayl ennagh ta'n grian soilshean t'eh kiart dy liooar er my hon ansherbee.","I like going somewhere where the sun is shining, fella. Yeah. But I prefer Italy. I like going to Italy. We've been there a few times now, to the Islands; Capri, and Ischia, and Naples. And in the North I like going to the lakes, lake Como, and lake Garda, as - I went to another one - lake Trasimeno, that was the other- that was its name. Yeah. But somewhere where the sun in shining is alright for me anyway."
part five 'education',Davy Quillin,"Hie mee gys Scoill Lhiannoo Rosien ayns shoh, as lurg shen va mee ec yn ard-scoill ayns Balley Cashtal. As va mee neesht ayns yn scoill ayns Lerphoyll; va shen jannoo my tiggad, my t'ou laccal, tra va mee ec Vooir. Va mee ec yn- t'eh jarroodit ennym- yn ennym jeh'n voayl nish. Boayl erbee ayns Lerphoyll ansherbee. Va shen ooilley my laghyn ec y scoill. V'ad jeant tra va mish shey-jeig.","I went to Rushen Infants School here, and after that I was at the high-school in Castletown. And I was also in school in Liverpool; that was doing my ticket, If you like, when I was at sea. I was at the- forgotten the name- the name of the place now. Somewhere in Liverpool anyway. That was all my days at school. They were done when I was sixteen."
part five 'education',Peddyr Hayhurst,"So, hie mie dys scoill ayns - bunscoil - ayns Beeston. Ta shen balley faggys da Nottingham ayns Sostyn. Lurg shen ren mee failleil yn Eleven Plus aym's as eisht hie mee dys Leicestershire as ren mee goll dys scoill ayns Castle Donnington, as eisht Loughborough, as eisht yn ollooscoill ayns Leicester hene raad ren mee cosney PhD ayns ionospheric physics; boayl- gyn ymmyd erbee ayns Mannin, agh v'eh anaasagh dy liooar as hie mee dys Norlan dy jannoo obbyr bentyn rish yn ionosphere as yn aurora as ny lhied. So va shen yn boayl ren mee gynsaghey reddyn. As lurg shen ren mee gynsaghey Germaanish ayns shoh, er yn Ellan, as gynsaghey Gaelg ayns shoh, er yn Ellan. As nish cha nel mee gynsaghey veg!","So, I went to school in - primary school - in Beeston. That's a town near Nottingham in England. After that I failed my Eleven Plus and then I went to Leicestershire and I went to school in Castle Donnington, and then Loughborough, and then the university in Leicester itself where I gained a PhD in ionospheric physics; where- useless in the Isle of Man, but it was interesting enough and I went to Norway to do work concerning the ionosphere and the aurora and the like. So that was where I learned things. And after that I learned German here, on the Island, and learned Manx here, on the Island. And now I'm not learning anything!"
part five 'education',Annie Kissack,"Well, hie mee gys scoill ayns Kione Droghad. Ec y traa shen va just un scoill, va shen Scoill Kione Droghad, as va'n thie ain kiart faggys da'n magher-scoill so va mee cliaghtey roie magh ass y garey aym's ec un vinnid gys nuy dy roshtyn scoill ayns traa dy gholl stiagh ec y minnid s'jerree. Va mee dy kinjagh anmagh son scoill. Agh va mee ayns shen voish eddyr kiare as nane-jeig, as eisht hie mee gys Balley Kermeen, er lhiam's, as lurg shen Park Road, as lurg shen St. Ninian's, so ta mee er ve ec ram scoillyn ayns Mannin harrish yn traa.","Well, I went to school in Onchan. At that time there was just one school, that was Onchan School, and our house was right next to the school field so I used to run out of my garden at one minute to nine to arrive at school in time to go in at the last minute. I was always late for school. But I was there from between four and eleven, and then I went to Ballakermeen, I think, and after that Park Road, And after that St. Ninian's, so I've been at a lot of schools on the Isle of Man over the years."
part five 'education',David Fisher,"Yn boayl va mee ruggit as troggit va Balley Keeill Eoin, as roish v'eh yn Bunscoill v'eh yn bunscoill aym's. As va'n ard-vainshter Willie Cubbon ayns shen, as Benainshter Fraser, as Benainshter Wattleworth, as va'n slane balley beg çheerey goll gys shen. Cha row Forsdal, va scoill elley, agh va ooilley ny paitçhyn veih Balley Keeill Eoin goll gys yn scoill shen. As ny lurg shen ren shin goll gys Doolish - Balley Kermeen - as eisht Noo Ninian. Cha row mee coontey monney jeh shen agh va Balley Keeill Eoin yindyssagh. Va.","The place that I was born and raised in was St. Johns, and before it was the Bunscoill it was my primary school. And the headmaster was Willie Cubbon there, and Mrs Fraser, and Mrs Wattleworth, and the whole village went there. Not Foxdale, there was another school, but all the kids from St. Johns went to that school. And after that we went to Douglas - Ballakermeen - and then St. Ninian's. I didn't think much of that school but St John's was brilliant. Yeah."
part five 'education',Peddyr Cubberley,"Cha row sym aym ec yn scoill ayns ny laghyn shen. Va mee geearree just ve magh er y çheer, ghooinney, ny er y keayn. Va'n lught-thie aym er y keayn, as v'ad geeastagh, as v'ad er yn Paggad Bree, as va mee just geearree goll magh er y keayn, as cha row mee geearree ve ceaut sthie, ghooinney, t'ou toiggal. She.","I had no interest at school in those days. I wanted just to be out in the country, fella, or on the sea. My family were all at sea, and they were fishing, and they were on the Steam Packet, and I just wanted to go out on the sea, and I didn't want to be shut in, fella, you know. Aye."
part five 'education',Claudia Koenig,"Hie mee dys scoillyn ayns y Ghermaan. Hie mee dys bunscoill ayns balley beg çheerey enmyssit Golzheim, as eisht hie mee dys ard-scoill ayns balley elley enmyssit Germersheim, as ny lurg shen hie mee dys olloo-scoill ayns Mainz as ren mee jannoo studeyrys ayns Baarle as Frangish ayns shen.","I went to schools in Germany. I went to primary school in a village called Golzheim, and then I went to high-school in a town called Germersheim, and after that I went to university in Mainz and I studied English and French there."
part five 'education',Julie Matthews,"Tra va mee aeg hie mee gys yn scoill Rushen Primary ayns, well, vel eh Purt le Moirrey ny vel eh Purt Çhiarn? Eddyr ny jees jeu ansherbee ec yn Kiare Raaidyn, rish kuse dy vleeantyn. Shen bleeantyn er dy henney nish. As hie mee gys Castle Rushen lurg shen so va mee just goll gys ny daa scoill roish va mee goll gys yn olloo-scoill tessyn yn ushtey.","When I was young I went to the Rushen Primary school in, well, is it in Port St. Mary or Port Erin? Between the two anyway at the Four Roads, for a few years. That's years ago now. And I went to Castle Rushen after that so I just went to the two schools before I went to university across the water."
part five 'education',Dot Saunders,"Well, hie mee dys scoill ayns Sostyn; hie mee dys yn bunscoill enmyssit Broomley County Primary School ayns y balley beg enmyssit Stocksfield, as lurg shen hie mee dys scoill grammeydys ayns balley enmyssit Hexham ayns Northumberland. As lurg shen hie mee dys Lerphoyll dys yn ollooscoill.","Well, I went to school in England; I went to the primary school called Broomley County Primary School in a small town called Stocksfield, and after that I went to grammar school in a town called Hexham in Northumberland. And after that I went to Liverpool to the university."
part five 'education',Jane Martin,"Och, hie mee ram scoillynyn. Tra va mee cummal ayns Sostyn hie mee dys yn tree bunscoillyn as daa ard-scoill, as haink shin dys yn Ellan as hie mee dys yn scoill ayns Rhumsaa.","Oh, I went to lots of schools. When I lived in England I went to three primary schools and two high-schools, and we came to the Island and I went to the school in Ramsey."
part five 'education',Maralyn Crellin,"Well, hie mee toshiaght ec scoill ec Plymouth er yn oyr dy row shin cummal ayns shen ec y traa shen, agh cha s'aym yn ennym er yn scoill. As tra va mee ayns shoh hie mee  dys Scoill Soilshey ny Greiney ayns Poyll Roish derrey va mee shiaght, as veih shen hie mee dys Raad Murray, as eisht dys scoill Valley Kermeen, as Raad Pairk er yn oyr dy row shen yn un scoill son inneenyn ec y traa shen. Mannagh row oo geearree goll dys y Vuchan begin dhyt goll dys Balley Kermeen as eisht dys Raad Pairk.","Well, I went to school first in Plymouth because we lived there at that time, but I don't know the name of the school.. And when I was here I went to the Sunshine School in Pulrose until I was seven, and from there I went to Murray's Road, and then to Ballakermeen school, and Park Road because that was the only school for girls at that time. If you didn't want to go to  the Buchan you had to go to Ballakermeen and then to Park Road,"
part five 'education',Ealee Sheard,"Well, ren mee goll dys Bunscoill Forsdal er yn oyr dy row mee cummal ayns Forsdal as cha row eh ro foddey ersooyl. So va mee just- va mee ayn son shiaght bleeantyn, er lhiam's, ayns shen. As eisht ny lurg shen hie mee dys QE2 - Ben-Rein Ealisaid yn Nah - ayns Purt ny hInshey. So va shen feer vie; ren mee meeteil rish ram caarjyn ayns shen, as gynsaghey ram. S'mie lhiam yn scoill shen. As eisht ny lurg shen hie mee dys olloo-scoill ayns Bangor ayns Y Vritaan, as va shen just yindyssagh. Ram sleih ayns shen voish Sostyn, as Y Rank, as Slovakia, as Vretin neesht - shen feer scanshoil. As ren mee cloie kiaull ayns shen, as gynsaghey Frangish, as just goll magh lesh my chaarjyn, as just gynsaghey mychione yn çheer, as ren mee gynsaghey bit beg dy Vretnish neesht, so shen ymmydoil, ayns y Twoaie.","Well I went to Foxdale Primary because I lived in Foxdale and it wasn't too far away. So I was just- I was there for seven years, I think, there. And then after that I went to QE2 - Queen Elizabeth the Second - in Peel. So that was very good; I met a lot of friends there, and learned a lot. I like that school. And then after that I went to university in Bangor in Wales, and that was just great. Lot of people there from England, and France, and Slovakia, and Wales too - that's very important. And I played music there, and learned French, and just went out with my friends, and just learned about the country, And I learned a bit of Welsh too, so that's useful, in the North."
part five 'education',Aalin Clague,"Hie mee gys yn bunscoill ayns Balley Keeill Eoin tra va mee aeg, yn fer ta mee gynsaghey ec nish, as eisht ren mee goll dys QE2 ayns Purt ny hInshey. Lurg shen hie mee gys Bretin - gys Bangor - as ren mee gynsaghey mychione psychology, as eisht yn aght dy gynsaghey.","I went to primary school in St. Johns when I was young, the one I teach at now, and then I went to QE2 in Peel. After that I went to Wales - to Bangor - and I learned about psychology, and then how to teach."
part five 'education',Marie Clague,"Hie mee dys tree bunscoillyn, er lhiam's. Ec y toshiaght hie mee dys Bunscoill Willaston, as eisht Bunscoill Kione Droghad, as ec y jerrey hie mee dys Raad Murray ayns Doolish. As ny lurg shen hie mee dys yn ard-scoill Balley Kermeen, as Raad Pairk; ta shen yn scoill son inneenyn ny lomarcan ayns ny laghyn shen.","I went to three primary schools, I think. In the beginning I went to Willaston Primary, and then Onchan Primary, and at the end I went to Murray's Road in Douglas. And after that I went to Ballakermeen High-School, and Park Road; that was the only school for girls in those days."
part six 'learning Manx',Davy Quillin,"Well, dooyrt mee yn skeeal shoh ymmodee keayrt rish Derek as deiney elley. Tra va mish my ghilley aeg va my ayr as mee hene shooyl er Raad y Cheyllys, as va daa dooinney ny hassoo ec çheu y raad, as v'ad loayrt ass y Gaelg, as dooyrt my ayr, ""Eaisht roosyn er yn oyr dy vel ad loayrt ass y Ghaelg."" Va fer jeu Neddy Maddrell; cha nel mee shickyr quoi yn dooinney elley agh v'ad dy bollagh flaaoil ayns y Ghaelg, as veih'n laa shen- cha row mish agh, foddee, tree bleeaney d'eash ec y traa shoh - t'eh foddey er dy henney - as v'eh soit ayns my chione veih'n laa shen cho yindyssagh v'eh clashtyn adsyn loayrt ass y Ghaelg, y neesht jeu, cho aashagh v'ad-. As eer gys y laa t'ayn jiu oddym cooinaghtyn un ockle v'ad jannoo ymmyd jeh ram keayrtyn as va shen yn ockle 'garroo'. Foddee v'ad loayrt mychione yn emshyr - cha nel mee shickyr - but v'ad dy kinjagh gra, ""Oh, v'eh garroo, v'eh garroo."" As va shen erskyn tree feed bleeantyn er dy henney. As lurg shen va kuse dy lioaryn ayns my hie va foast ec my vraar, Teddy, ayns y Ghaelg, as va Noo Ean as kuse dy lioaryn elley ayns yn thie. Va mee lhaih ad as geddyn greim er fockle ny ghaa agh v'eh doillee jannoo coloayrtys rish","Well, I told this story many times to Derek and other people. When I was a young boy my father and me were walking on the Sound Road, and there were two men standing at the side of the road, and they were speaking Manx, and my father said, ""Listen to them because they're speaking Manx."" One of them was Neddy Maddrell; I don't know who the other man was but they were totally fluent in Manx, and from that that- I was only, maybe, three years old at that time - it's a long time ago - and it was stuck in my head from that day how wonderful it was to hear them speaking Manx, both of them, so easy they were-. And even to this day I can remember one word they used many times and that was the word 'rough'. Maybe they were talking about the weather - I'm not sure - but they were always saying, ""Oh, it was rough, it was rough."" And that was over sixty years ago now. And after that there were a few books in my house that my brother, Teddy, still has, in Manx, and St. John [gospel] and a few other books in my house."
part six 'learning Manx',I was reading and getting hold of a few words but it was difficult to make conversation with,"sleih erbee er yn oyr dy vel eh doillee geddyn yn sheean jeh yn ghlare, agh tra va mish beggan ny shinney hie mee gys y brastyl Ritchie Radlagh as brastyl Doolish y Karagher dy feddyn magh yn aght dy ockley magh y Ghaelg. Eisht va mee jannoo beggan dy choloayrtys lurg shen. Va shen foddey er dy henney neesht; va shen bunnys daeed bleeantyn er dy henney.","anyone because it's difficult to get the sound of the language, but when I was a bit older I went to Ritchie Radcliffe's class, and Douglas Faragher's class to find out how to pronounce Manx. Then I did a bit of conversation after that. That was a long time ago now; that was almost forty years ago."
part six 'learning Manx',Peddyr Hayhurst,"Va mee gynsaghey Gaelg mysh, well, ny smoo na feed blein er dy henney ayns nuy cheead jeig hoght as kiare feed ayns yn Jiass, ayns shoh. Va mee loayrt rish ben enmyssit Sue Creasey ass Creneash as v'ee gra dy vel eh urree gynsaghey Gaelg er y fa dy vel ee gobbragh ayns thie Harry Kelly ayns shen. As dooyrt mee, ""Well, ta sym aym er çhengaghyn as by vie lhiam gynsaghey neesht."" Dooyrt ee dy vel brastyllyn goll er cummal ayns Purt Çhiarn ec y thie-oast Yn Baaie ayns shen. V'ad reaghit ec Phillie Gawne. Va shen feer anaasagh so va shin ayns shen marish Phillie rish mee ny ghaa as eisht v'eh currit da Raad Victoria as v'eh orrin feddyn fer-ynsee noa. So ec y traa shen hie shin dys Balley Beg, dys yn halley ayns shen, marish Derek Phillips - dooinney yindyssagh as fer-ynsee yindyssagh ny neesht. Foddym geaishtagh rish Derek son ooryn as ooryn. As ec y traa shoh- ec y traa shen va mee scoltey veih my shenn ven as eisht va ram traa er my laueyn, myr t'ad gra, so hie mee dy gynsaghey Gaelg ayns Balley Beg Jelune; ayns Purt ny hInshey marish Stewie Bennett as Fiona McArdle Jemayrt; Jecrean, cha ren mee gynsaghey Gaelg; Jerdein, hie mee dys gynsaghey Gaelg ayns yn thie-oast Yn Lhong ayns Balley Cashtal marish Richard Radcliffe as Derek; as va mee goaill arrane 'sy Gaelg oie Jesarn, so haink mee dy ve flaaoil tappee dy liooar er y fa nagh vel mee jannoo red erbee elley ayns my vea!","I was learning Manx about, well, more than twenty years ago in nineteen eighty eight in the South, here. I was talking to a woman called Sue Creasey from Cregneash as she said that she had to learn Manx because she's working in Harry Kelly's house there. And I said, ""Well, I'm interested in languages and I'd like to learn too."" She said that classes are being held in Port Erin at The Bay pub there. They were arranged by Phillie Gawne. That was very interesting so we were there with Phillie for a month or two and then he was sent to Victoria Road and we had to find a new teacher. So at that time we went to Ballabeg, to the hall there, with Derek Phillips - a wonderful man and a wonderful teacher too. I can listen to Derek for hours and hours. At this time- at that time I was splitting up with my previous wife and then I had a lot of time on my hands, as they say, so I went to learn Manx in Ballabeg on Monday; in Peel with Stewie Bennett and Fiona McArdle on Tuesday, Wednesday I didn't learn Manx; Thursday I went to learn Manx in The Ship Inn in Castletown with Richard Radcliffe and Derek; and I was singing in Manx on Saturday night, so I came to be fluent pretty quickly because I wasn't doing anything else in my life!"
